Category,Sub-Category,Quest Name/Concept,Trigger/When,Quest Giver NPC,Season,Objective,Difficulty Tier,Reward Type,Reward Details,Consequence NPC(s),Consequence Type,Consequence Details,Mod support,Deadline (days),Notes,Effort,Constraints,Status
Fishing,Location Specific,<Location> fish overpopulation,Daily board,Demetrius (if location is Pelican town or Mount Vapius)/ Maddie or Mr Aguar (if location is in Ridgeside Village)/ Dylan (if location is in East Scarp),Any,Fish specific spot for specific fish,Intermediate,Gold + Bait,GoldIntermediateBase + 10x Challenge Bait,None,None,,Yes,DeadlineShort,"Location hint in description + arbitrary reason for overpopulation. e.g. ""The lake has been swarming with <quest fish> lately. We need to reduce their numbers.""",FishingQuest with required-location check (override checkIfComplete to verify currentLocation.Name matches target). Quest giver dispatched by Pelican/MV vs RSV vs ES. Description embeds location + flavor reason. Med.,Cooldown=4d,Not started
Animal,Ongoing,Alex's Protein Shakes,Periodic,Alex,Any,Deliver eggs (scales with # of chickens),Beginner,Item,"Energy Tonic or Muscle Remedy or ""Protein Bar"" (resprite of Field Snack by Rafia)",None,None,,Yes - accepts modded eggs,Dynamic (Scales with # of eggs),,Periodic ItemDeliveryQuest scaled by chicken count. Reward picks Energy Tonic / Muscle Remedy or new Protein Bar (custom Data/Objects entry + sprite by Rafia). Low (Med if Protein Bar reward is required).,Cooldown=14d; OnePerGiver,Not started
Farming,Seasonal Specialty,Caroline's Tea Garden,Daily board,Caroline,Fall,Deliver specific spring flowers/herbs for tea,Intermediate,Friendship + tea leaves,FriendshipMid + 10 tea leaves,None,None,,Yes - spring crops/flowers,DeadlineShort,Caroline misses Spring so she wants to make some spring themed tea.,Fall-season-only ItemDeliveryQuest of specific spring flowers/herbs (player must have stored or buy from market). Reward = FriendshipMid + 10 Tea Leaves (vanilla item). Low-Med.,Cooldown=7d; OnePerGiver,Not started
Social,Advanced Check-in,Check on friends,Daily board,Any,Any,Talk to X npcs and report back to quest giver,Intermediate,Friendship (large),FriendshipIntermediate with questgiver,NPCs (dynamic),Tier 1 - Comment,Normal interaction friendship boost,Yes - modded npcs,DeadlineShort,Could also be Harvey/Paula (RSV) flavor to check on town mental health or sth.,SocializeQuest variant tracking N talked-to NPCs (Game1.player.hasPlayerTalkedToNPC) then return-to-questgiver step. Vanilla SocializeQuest base supports the talk-tracking; mod-aware NPC pool. Med.,Cooldown=7d,Implemented (7c)
Foraging,Conservation,Clear Debris,Daily board,Any,Any,Clear debris around town (for modded npc clear debris in their town),Intermediate,Friendship only,FriendshipMid with quest giver,None,None,,Yes,DeadlineShort,,Custom Quest counting Debris/ResourceClump removals at target location via ObjectListChanged + Harmony patch on ResourceClump.performToolAction. Med.,Cooldown=5d,Not started
Cooking,Grand Feast,Dinner Party,Daily board,Any (human npc),Any,Deliver multiple requested dishes,Advanced,Gold + Friendship,RewardMultiplierAboveSell of dishes price + FriendshipBasic,None,None,,Yes - modded dishes/npcs,DeadlineMedium to DeadlineLong,Dishes need to be liked by quest giver,Special Order with N Deliver objectives picked from dishes the questgiver Loves/Likes. Reward = sum(dish price)*RewardMultiplierAboveSell + flat FriendshipBasic to giver. Med.,Cooldown=10d,Not started
Festival,Winter Star,Evelyn's Holiday Cookies,Winter 21,Evelyn,Winter,"Deliver Flour, Sugar and Eggs (any edible egg incl. modded)",Beginner,Friendship + Item,FriendshipLarge to Evelyn + 6x Cookie,None,None,,Yes - any modded egg with Category -5 + Edibility != -300 counts (Hootin' & Hollerin' owl/etc., SVE goose, VMV speckled fowl, ...),DeadlineShort,"Multi-step Adventure (parallel Deliver). Egg step uses framework $edible-egg token: any Object with Category -5 and non-inedible Edibility. Catches every vanilla egg (174/176/180/182/442/289/305) plus all modded eggs. Excludes Dinosaur Egg (107, Edibility -300).","Generator HolidayCookies. Mail-delivered (DateLocked default). Difficulty scaling: max(3, 6 x FarmingLevel) per ingredient when DifficultyScaling toggle on. Off: fixed 3 of each. Low.",DateLocked=Winter 21; OneTimePerYear,Implemented (7b)
Festival,Dance of the Moonlight Jellies,Festival Decor Supply,Summer 24,Lewis,Summer,Ship Torches and Wood,Intermediate,Gold + Item,GoldBasicBase + random decor from Pierre's Dance of the Moonlight Jellies shop,None,None,,Yes - modded decor from Pierre's shop can be reward,DeadlineShort,"Need to temporarily enable shipping decor items during this quest, since Vanilla game does not allow shipping them by default.",DayStarted Summer 24 trigger via FestivalQuestManager. Custom shipping-tracked Quest counting Torches/Wood in Farm.shippingBin at day-end. Requires Harmony patch on shipping/canBeShipped to allow furniture/decor during quest window. Reward picks random item from Pierre's Moonlight Jellies stock data (modded entries supported). Med-High.,DateLocked=Summer 24; OneTimePerYear,Not started
Festival,East Scarp Spirit's Eve,Festival Decor Supply,Fall 24,Rosa,Fall,"Ship Purple color dye items, slime, stone",Intermediate,Friendship,FriendshipMultiHeart (East Scarp NPCs),None,None,,Yes,DeadlineShort,3 days before Spirit's Eve,"Requires East Scarp mod check. DayStarted Fall 24, ship purple-dye items (filter Data/Objects by ContextTags color_purple) + slime + stone. Reward iterates ES NPCs and applies +FriendshipMultiHeart each. Med.",DateLocked=Fall 24; OneTimePerYear,Not started
Festival,Egg Festival,Festival Decor Supply,Spring 10,Lewis,Spring,Ship hay bales for town square decoration,Beginner,Gold + Item,GoldBeginnerBase + random decor item from Pierre's Egg Festival shop,None,None,,Yes - modded decor from Pierre's shop can be reward,DeadlineShort,"3 days before festival. Need to temporarily enable shipping decor items during this quest, since Vanilla game does not allow shipping them by default.","DayStarted Spring 10. Hay-bale shipping quest, same shipping-allow Harmony patch as Moonlight Jellies. Reward picks random item from Pierre's Egg Festival shop data. Med.",DateLocked=Spring 10; OneTimePerYear,Not started
Festival,Fair,Festival Decor Supply,Fall 12,Lewis,Fall,"Ship Wood, Wood Signs and Flowers",Intermediate,Festival Bonus,Bonus star tokens,None,None,,Yes - any fall themed flowers,DeadlineShort,4 days before Fair,DayStarted Fall 12. Shipping quest for Wood/Wood Signs/flowers (decor shipping patch). Reward = inject bonus star tokens on Fair day via Game1.player.festivalScore on Fall 16 event-start hook. Med.,DateLocked=Fall 12; OneTimePerYear,Not started
Festival,Luau,Festival Decor Supply,Summer 6,Lewis,Summer,"Ship Fiber, Basic Log and Wood Lamp-post",Intermediate,Gold + Item,GoldIntermediateBase + random decor from Pierre's Luau shop,None,None,,Yes - modded decor from Pierre's shop can be reward,DeadlineMedium,"Need to temporarily enable shipping decor items during this quest, since Vanilla game does not allow shipping them by default.",DayStarted Summer 6. Ship Fiber/Basic Log/Wood Lamp-post (decor shipping patch). Reward picks random item from Pierre Luau shop data. Med.,DateLocked=Summer 6; OneTimePerYear,Not started
Festival,Ridgeside Gathering,Festival Decor Supply,Fall 15,Lenny,Fall,"Ship Tub o' flowers (give recipe with quest letter if not known), Wood and Tables (any type)",Advanced,Friendship,FriendshipMultiHeart (RSV NPCs),None,None,,Yes,DeadlineMedium,5 days before Ridgeside Gathering,"Requires RSV. DayStarted Fall 15. Ship Tub o' Flowers (gift recipe via player.craftingRecipes.Add if unknown), Wood, any Table. Reward iterates RSV NPCs with +FriendshipMultiHeart each. Med.",DateLocked=Fall 15; OneTimePerYear,Not started
Festival,Spirit's Eve,Festival Decor Supply,Fall 22,Lewis,Fall,"Ship Pumpkins, Cloth and Torches",Intermediate,Gold + Item,GoldIntermediateBase + Jack o' Lantern,None,None,,No,DeadlineShort,5 days before Spirit's Eve,DayStarted Fall 22. Shipping quest for Pumpkins/Cloth/Torches (decor shipping patch). Reward = GoldIntermediateBase + Jack o' Lantern. Med.,DateLocked=Fall 22; OneTimePerYear,Not started
Foraging,Social,Forage with Linus,Daily board,Linus,Any,Gift loved/liked forage to 5 people,Beginner,Friendship (large),FriendshipLarge with Linus,NPCs (dynamic),Tier 1 - Comment,Friendship boost due to gifting,No,DeadlineMedium to DeadlineLong,Immersive social quest,Custom Quest tracking gift events via Harmony patch on NPC.receiveGift; counts unique NPCs given a forage-category item (Object.Category == forage or ContextTag forage_item). Med.,Cooldown=14d; OnePerGiver,Not started
Social,Delivery,Gift Delivery,Daily board,Any,Any,Deliver a gift to quest giver's friend,Beginner,Friendship,RewardMultiplierBelowSell of item price,None,None,,Yes - modded npcs/items,DeadlineMedium,,Custom Quest: ItemDeliveryQuest where target NPC is the quest giver's friend (configurable friend-graph or pick a different met NPC). Reward = RewardMultiplierBelowSell of item sell price + FriendshipBasic. Med.,Cooldown=4d,Not started
Animal,Dinosaur,Gunther's Dinosaur Study,First Dinosaur Egg hatched,Gunther,Any,Deliver a spare Dinosaur Egg for museum study,Advanced,Gold + Item,"GoldAdvancedBase + upgraded quality Dinosaur Egg (i.e. if farmer delivered a silver quality egg, Gunther will return a Gold quality one)",None,None,,No,DeadlineExtended,"Long deadline - dino eggs are rare. ""Farmer, thanks for letting me examine this incredible specimen. It turned out to be even better quality than I originally thought! Returning it to you with my thanks.""",Track first Dinosaur Egg via Game1.stats or DayStarted scan of incubators/inventory. Mail+ItemDeliveryQuest to Gunther. Override Quest.questComplete to read submitted egg's Quality and return one tier higher via inventory add. Med.,OneTime,Not started
Festival,Egg Festival,Gus's Festival Feast,Spring 6,Gus,Spring,Deliver Spring themed dish ingredients,Beginner,Dish,"Gus rewards with a ""sample"" of the dish for you to taste",None,None,,Yes - spring themed modded dish/ingredient,DeadlineLong,"7 days before festival, Gus is taste-testing dishes for the festival",DayStarted Spring 6. ItemDeliveryQuest of spring-themed ingredients to Gus. Reward = sample of the dish (resolve to a random spring-themed cooked item via inventory add). Low-Med.,DateLocked=Spring 6; OneTimePerYear,Implemented (7c)
Festival,Fair,Gus's Festival Feast,Fall 8,Gus,Fall,Large cooking ingredient delivery,Intermediate,Dish + Festival Bonus,Gus rewards with some dishes to sample + bonus tokens,None,None,,Yes,DeadlineLong,8 days before Fair,DayStarted Fall 8. Larger ingredient ItemDeliveryQuest to Gus. Reward dishes via inventory add + festival token bonus on Fair day. Med.,DateLocked=Fall 8; OneTimePerYear,Not started
Festival,Luau,Gus's Festival Feast,Summer 8,Gus,Summer,Deliver 3 random cooking ingredients for potluck testing,Intermediate,Festival Bonus,Higher base potluck score,None,None,,Yes - random ingredients,DeadlineShort,3 days before Luau. Ingredients should be Spring/Summer themed to prevent gatekeeping first years.,DayStarted Summer 8. ItemDeliveryQuest for 3 ingredients filtered to Spring/Summer-themed. Reward = patch Game1.player.team.luauIngredients or Event afterDialogue for Luau judging to bias governor reaction one tier higher. Med-High.,DateLocked=Summer 8; OneTimePerYear,Not started
Festival,Winter Star,Gus's Festival Feast,Winter 18,Gus,Winter,Ship winter themed dish ingredients,Intermediate,Friendship,FriendshipMultiSmall with whole town (met NPCs only),None,None,,Yes,DeadlineLong,Only +friendship with NPCs farmer has already met.,"DayStarted Winter 18. ItemDeliveryQuest for winter-themed ingredients. On complete, iterate Game1.player.friendshipData (only NPCs with existing entries = met) and apply +FriendshipMultiSmall. Med.",DateLocked=Winter 18; OneTimePerYear,Implemented (7c)
Cooking,Grand Feast,Gus/Rosa/Celestine/Pika's Grand Feast,Daily board,Gus/Rosa/Celestine/Pika,Any,Deliver ingredients for multiple recipes,Expert,Gold (high) + Friendship,GoldExpertBase + FriendshipMultiSmall with multiple NPCs,NPCs (dynamic),Tier 2 - Small Loss,"One time loved gift taste dialogue and +FriendshipBasic friendship. If an npc hates the dish and you talk to them, possible friendship loss (-FriendshipBasic) based on dialogue. e.g. ""Oh! You're the one who supplied the peppers?!""",Yes,DeadlineMedium to DeadlineLong,Large-scale version,"Best as Data/SpecialOrders entry with multiple Deliver objectives across multiple recipes, DeadlineMedium to DeadlineLong window. Reuse cooking consequence pass for each dish; bigger friendship deltas. Custom SpecialOrder template per saloon NPC. Med-High.",Cooldown=14d; OnePerGiver,Not started
Cooking,Dish of the Week,Gus/Rosa/Celestine/Pika's Weekly Special (Common),Daily board,Gus/Rosa/Celestine/Pika,Any,Deliver ingredients for a common recipe,Beginner,Gold + Friendship,GoldBeginnerBase + FriendshipMultiSmall with multiple NPCs,NPCs (dynamic),Tier 1 - Comment,NPCs who hate the dish comment. NPCs who love it are happy (+FriendshipBasic). Uses Data/NPCGiftTastes dynamically.,Yes - modded recipes,DeadlineShort,Auto-detects all NPC tastes including modded,Daily-board multi-ingredient ItemDeliveryQuest for a common-tier recipe. Quest giver dispatched by mod presence (Gus/Pika RSV/Rosa ES/Celestine VMV). Consequence pass scans NPCGiftTastes for love/hate of cooked dish via existing ConsequenceManager + dialogue queue. Med.,Cooldown=5d; OnePerGiver,Not started
Cooking,Dish of the Week,Gus/Rosa/Celestine/Pika's Weekly Special (Complex),Daily board,Gus/Rosa/Celestine/Pika,Any,Deliver ingredients for a complex recipe,Advanced,Gold + Friendship,GoldIntermediateBase + FriendshipMultiSmall with multiple NPCs,NPCs (dynamic),Tier 2 - Small Loss,"One time dialogue for some npcs. e.g. Shane: ""Gus had Pepper Poppers on special. Made my week."" (+FriendshipBasic) Haley: ""The saloon reeked of peppers."" (-FriendshipBasic)",Yes,DeadlineShort to DeadlineMedium,,Same generator as Common but recipe filtered to high tier (>=N ingredients or sell price band). Tier 2 consequences: queue one-time NPC dialogue for next greet via DialogueQueue +/-FriendshipBasic friendship. Med.,Cooldown=7d; OnePerGiver,Not started
Seasonal,Summer,Heat Wave Relief,Daily board,Harvey/ Paula (RSV),Summer,Ship cold drinks/melons/Ice Cream,Intermediate,Item,Random items from Harvey's shop,None,DataGenerated,,Yes - cold food items,DeadlineShort,,"Shipping/ItemDelivery quest restricted to cold-food ContextTag (cold drinks, Melons, Ice Cream) - both vanilla and modded. Reward = random Harvey-shop item (read Data/Shops). Low-Med.",Season=Summer; Cooldown=5d; OnePerGiver,Not started
Seasonal,Summer,Jellyfish Watch Prep,Daily board,Demetrius/ Maddie (RSV)/ Mr Aguar (RSV)/ Dylan (East Scarp),Summer,Deliver beach forageables for study,Intermediate,Friendship + Item,FriendshipBasic with quest giver + a loved item,None,None,,Yes,DeadlineShort,Before Moonlight Jellies,"ItemDeliveryQuest for ocean forageables (coral, sea urchin, nautilus shell). Quest giver mod-aware. Reward = FriendshipBasic + item from giver's loved list (Data/NPCGiftTastes). Med.",Season=Summer; Cooldown=5d; OnePerGiver,Not started
Animal,Special Egg,Krobus's Void Note,First Void Egg collected (only if at least 1 heart with Krobus),Krobus,Any,Cryptic note about void chickens - deliver a Void Egg to Krobus,Intermediate,Item + Friendship,Void Chicken Statue (Rafia will create the sprite) + FriendshipMid Krobus friendship,None,None,,No,DeadlineMedium,,Trigger on first Void Egg in inventory/incubator AND Game1.player.getFriendshipHeartLevelForNPC(Krobus)>=1. Mail+ItemDeliveryQuest. Reward = new Void Chicken Statue furniture (custom Data/Furniture entry + sprite by Rafia). Med.,OneTime,Not started
Animal,Ongoing,Leah's Farm Painting,Periodic (only if player has enough friendship with Leah),Leah,Any,Leah wants to paint your animals (visit her house with animal using Livestock Follows You),Beginner,Item,Animal painting (Assets created by Rafia),None,None,,Yes - modded animals + paintings + only triggered if Livestock Follows You is installed AND save is single player,DeadlineMedium,"Leah will only request animals you have already and the painting reward will be of that animal (if available), otherwise defaults to one of the existing animal paintings. Quest is completed as soon as you enter Leah's house with animals following you. Leah sends the reward by mail the next day. Also a requirement is to have enough friendship with Leah, since you cannot enter her house otherwise.",Requires LivestockFollowsYou + non-multiplayer. Custom GoSomewhereQuest variant: monitor player Location==LeahHouse with following animal (mod API or NPC.followingAnimal). Reward picks painting matching animal type from custom asset pack; fallback to vanilla painting. Med-High.,Cooldown=21d; OnePerGiver,Not started
Fishing,Legend,Legendary Fish Quest,Daily board,Willy,Any,Catch a legendary or very rare fish,Expert,Item (rare),A unique display of the fish (assets created by Rafia),None,None,,Yes - legendary fishes from RSV/ES/VMV/SVE,DeadlineLong,,FishingQuest restricted to legendary list (vanilla + RSV/ES/VMV/SVE - needs config table or per-mod IDs lookup). Reward = unique fish display furniture per fish (custom Data/Furniture + sprites by Rafia). High.,Cooldown=21d; OnePerGiver,Not started
Festival,Egg Festival,Lewis's Easter Eggs,Spring 8,Lewis,Spring,Ship dye materials for painting eggs,Beginner,Item,Egg Basket (Assets created by Rafia),None,None,,Yes - any dye item,DeadlineMedium,5 days before festival,DayStarted Spring 8. Ship items with ContextTag color_* or dye-source. Reward = new Egg Basket item (custom Data/Objects entry + sprite by Rafia). Med.,DateLocked=Spring 8; OneTimePerYear,Not started
Animal,Coop Build,Marnie's Chicken Offer,Day after building Coop,Marnie,Any,"Letter: ""Bring me 15 mixed seeds and I'll give you a deal on a chicken""",Beginner,Discounted animal,Free/cheap chicken,None,None,,No,DeadlineLong,Triggered by building Coop,Same trigger pattern as Cow Offer but for first Coop. ItemDeliveryQuest for 15 mixed seasonal seeds; one-time chicken discount via shop event. Med.,OneTime,Not started
Animal,Barn Build,Marnie's Cow Offer,Day after building Barn,Marnie,Any,"Letter: ""Buy a Grazing Bell from me and I'll give you a deal on a cow.""",Beginner,Discounted animal,Free/cheap cow,None,None,,Yes - Livestock Follows You mod needed for this quest to trigger,DeadlineNone,"Triggered by building first barn. ""Cows love to go on walks, you can take them grazing with a Grazing Bell!""",,OneTime,Not started
Animal,First Egg,Marnie's Egg Request,After first egg collected,Marnie,Any,Ship 10 Eggs over the next week,Beginner,Gold + Friendship/Recipe,GoldBasicBase + Mayonnaise Machine recipe (if not learned),None,None,,No,DeadlineLong,Triggered by first egg,Trigger on Game1.stats.ChickenEggsLayed first crossing > 0 (DayStarted check vs persisted flag). ItemDeliveryQuest for 10 eggs; reward gold + cookingRecipes.Add(Mayonnaise Machine) if missing. Low-Med.,OneTime,Not started
Animal,Upgrade Trigger,Marnie's Livestock Show,After Deluxe Barn (check that farmer has at least 2 animals),Marnie,Any other than Winter,Take your animals for a walk around town (Livestock Follows You mod plug),Intermediate,Friendship (large),FriendshipLarge with Marnie,None,None,,Yes - only triggers if Livestock Follows You is installed AND if save is not multiplayer,DeadlineShort,Social quest,"Requires LivestockFollowsYou + non-multiplayer + Deluxe Barn + >=2 animals. SocializeQuest variant: visit Town with N following animals. Reward via Game1.player.changeFriendship(+FriendshipLarge, Marnie). Med.",OneTime,Not started
Animal,First Milk,Marnie's Milk Request,After first milk collected,Marnie,Any,Ship 10 Milk,Beginner,Gold + Friendship/Recipe,GoldBasicBase + Cheese Press recipe (if not learned),None,None,,No,DeadlineLong,,Trigger on first cow milk (DayStarted scan of FarmAnimal.currentProduce or stats counter). Same pattern as egg quest with Cheese Press recipe reward. Low-Med.,OneTime,Not started
Farming,Crop Delivery,Massive Harvest Request,Daily board,Morris/ Joja co.,Any,Ship CropMassiveQty+ of a single crop type,Expert (Skill 10),Gold (high),RewardMultiplierBelowSell of crop price (configurable),Villagers,Tier 1 - Comment,"Positive: some people are impressed by the sudden quality upgrade at Joja. Optional: if someone hates the specific crop, they're disappointed (""Why couldn't morris get better quality <liked crop> instead? I never eat <quest crop>."")",Yes,DeadlineMedium to DeadlineLong,Joja's usual supplier messed up and didn't deliver their usual order so Morris needs to make up for it with local produce.,"ItemDeliveryQuest for CropMassiveQty+ of one crop. Tier 1 dialogue queue based on NPCGiftTastes for that crop (loved comments positive, hated comments negative) via existing ConsequenceManager. Med.",Cooldown=10d; OnePerGiver,Not started
Fishing,Large Haul,Medium Fishing Haul,Daily board,Morris/ Pierre,Any,Catch FishHaulMediumQty+ of a specific fish,Advanced,Gold (high),RewardMultiplierBelowSell of fish price,Demetrius,Tier 2 - Small Loss,"Demetrius/Maddie (RSV)/Mr Aguar (RSV): ""I've noticed fish populations declining..."" (-FriendshipBasic friendship)",Yes,DeadlineMedium,Morris flavor: a shipping mishap caused Zuzu's Joja branch to run out of fish. Resupply needed urgently. Pierre flavor: a lucrative side hustle at Zuzu city's waterpark just popped up and Pierre is willing to share the profits if you supply him with the fish.,FishingQuest with quantity FishHaulMediumQty+. Tier 2 consequence: -FriendshipBasic friendship + dialogue to ecology NPCs (Demetrius / mod-aware Maddie / Mr Aguar). Existing fishing-consequence path in QuestGenerator already covers this. Low-Med.,Cooldown=5d; OnePerGiver,Not started
Festival,Night Market,Merchant Unpacking,Winter 13,Any,Winter,Ship random Spring/Summer/Fall seeds (only ones available at the Night Market's Magic Shop Boat),Beginner,Friendship,FriendshipBasic,None,None,,Yes - any npc,DeadlineShort,"""I won't make it to the night market but I need to stock up on some seeds. Can you get some for me?""",DayStarted Winter 13. Shipping quest for non-current-season seeds matching the Magic Shop Boat stock list. Reward: +FriendshipBasic to picked NPC. Low-Med.,DateLocked=Winter 13; OneTimePerYear,Not started
Animal,Exotic Animal,Moira's Exotic Animal Offer,"Player unlocks ""Ewes"" (VMV)",Moira (VMV),Any,"Letter: ""If you bring me some [modded crop], I could give you a discount on your first Ewe""",Intermediate,Discounted animal,Free/cheap Ewe,None,None,,Yes - modded crop as gift,DeadlineNone,Visit Mount Vapius integration,Helper.ModRegistry.IsLoaded check for VMV. Watch Game1.player.mailReceived for VMV's Ewes-unlock flag. Mail+ItemDeliveryQuest using configurable VMV crop id; on complete set Moira shop discount flag. Med (depends on VMV cooperation/known IDs).,OneTime,Not started
Mining,Combat,Monster Hunt,Daily board,Adventurer's Guild,Any,Slay X of any monsters,Intermediate,Gold + Item,GoldIntermediateBase + combat food (+1 combat buff),None,None,,Yes - modded monsters,DeadlineShort to DeadlineMedium,,SlayMonsterQuest tracking total kills regardless of type (or custom counting via Game1.stats.MonstersKilled delta). Reward includes custom combat-buff food (Data/Objects + Data/Buffs entry). Low-Med.,Cooldown=3d,Not started
Mining,Combat,Monster Parts,Daily board,Wizard/ Lance (SVE)/ Marlon (SVE)/ Mr Aguar (RSV)/ Abigail/ Eli (East Scarp)/ Mariam (VMV),Any,Collect and deliver rare monster drops,Advanced,Item (rare),High value gem or artifact (GoldIntermediateBase+ worth),Other NPCs,Tier 1 - Comment,"Krobus, Sen (East Scarp) and Dwarf react negatively.","Yes - modded monsters/drops + modded monster locations (e.g. deep caves in MVM, Sen's cave in East Scarp) and modded gem/artifact reward",DeadlineMedium,,"ItemDeliveryQuest for rare drops (Bat Wing, Solar Essence, Bug Meat, modded drops). Quest giver chosen from broad NPC list with mod-presence checks. Tier 1 negative comments queued for Krobus/Sen/Dwarf via ConsequenceManager. Med.",Cooldown=5d; OnePerGiver,Not started
Farming,Bulk Order,Pierre's Stock-Up,Daily board,Pierre,Any,Deliver large quantity of mixed seasonal crops,Advanced,Discount,SeedShopDiscountPercent off requested crops for SeedShopDiscountDurationDays at Pierre's shop,None,None,,Yes,DeadlineMedium to DeadlineLong,Quantity scales with farming skill. Discount % configurable.,Daily board bulk-crop ItemDeliveryQuest (qty scales with farming skill). Reward = patch Data/Shops/SeedShop entries via asset event for SeedShopDiscountDurationDays post-complete to apply SeedShopDiscountPercent discount to quested seeds; expire via day counter in mod state. Med.,Cooldown=7d; OnePerGiver,Not started
Foraging,Conservation,Plant Trees,Daily board,Linus/Dylan (ES)/Demetrius/Kimpoi (RSV)/Aster (VMV),Any,Plant X trees on X location,Intermediate,Friendship only,FriendshipIntermediate with quest giver,None,None,,Yes - modded location if quest giver is modded npc,DeadlineShort,No gold reward - pure friendship,Custom Quest tracking new TerrainFeature (Tree) placements at target location via TerrainFeatureListChanged event. Quest giver dispatched by location/mod presence. Med.,Cooldown=7d; OnePerGiver,Not started
Farming,Crop Delivery,Premium Crop Order,Daily board,Any,Any,Deliver X Iridium-quality rare crops,Advanced (Skill 7-9),Gold + Item,GoldAdvancedBase + rare/ancient seeds,None,None,,Yes,DeadlineLong,Rare/expensive crops only,"Same quality-aware quest as Quality Crop Delivery, restricted to rare/iridium-tier crops by sell-price filter. Med.",Cooldown=5d,Not started
